#conf_AA #conf_AA #expected_count #miss_probability
38 1 60.8 0.0000
2 4 57.4 0.0000
1 18 55.8 0.0000
29 1 54.9 0.0000
2 6 44.9 0.0000
1 79 41.2 0.0000
1 228 33.2 0.0000
1 164 32.9 0.0000
254 1 30.6 0.0000
57 1 28.8 0.0000
1 132 27.7 0.0000
1 103 27.7 0.0000
104 1 27.0 0.0000
19 1 26.4 0.0000
5 6 24.1 0.0000
3 50 23.9 0.0000
138 1 23.4 0.0000
9 3 22.8 0.0000
1 83 22.7 0.0000
1 255 22.6 0.0000
244 1 21.9 0.0000
1 70 21.4 0.0000
1 65 21.0 0.0000
5 4 20.9 0.0000
1 147 20.8 0.0000
25 3 20.6 0.0000
1 261 20.5 0.0000
24 3 19.3 0.0000
198 1 18.7 0.0000
2 50 18.1 0.0000
3 18 17.6 0.0000
12 3 17.3 0.0000
1 203 17.1 0.0000
53 1 17.0 0.0000
1 88 16.8 0.0000
1 183 16.7 0.0000
1 229 16.6 0.0000
10 2 16.6 0.0000
2 10 16.6 0.0000
1 196 16.3 0.0000
17 3 15.9 0.0000
5 28 15.8 0.0000
3 40 15.2 0.0000
2 31 15.1 0.0000
30 3 14.6 0.0000
3 30 14.6 0.0000
176 1 14.5 0.0000
20 4 14.5 0.0000
236 1 14.1 0.0000
29 3 13.8 0.0000
1 240 13.7 0.0000
1 352 13.7 0.0000
100 3 13.6 0.0000
21 2 13.4 0.0000
101 1 13.0 0.0000
1 78 12.9 0.0000
15 3 12.7 0.0000
115 1 12.3 0.0000
1 419 12.3 0.0000
4 10 12.2 0.0000
1 106 12.2 0.0000
1 146 12.0 0.0000
2 73 12.0 0.0000
33 4 11.9 0.0000
69 3 11.9 0.0000
1 233 11.6 0.0000
4 31 11.4 0.0000
207 1 11.4 0.0000
3 35 11.4 0.0000
1 119 11.2 0.0000
2 40 11.2 0.0000
47 3 11.2 0.0000
140 1 11.2 0.0000
288 1 11.1 0.0000
1 123 11.1 0.0000
4 18 11.0 0.0000
31 4 10.9 0.0000
1 110 10.9 0.0000
2 51 10.8 0.0000
18 4 10.5 0.0000
1 298 10.4 0.0000
178 1 10.4 0.0000
20 5 10.3 0.0000
54 3 10.3 0.0000
311 1 10.1 0.0000
5 50 10.0 0.0000
63 3 9.9 0.0001
296 1 9.8 0.0001
5 11 9.8 0.0001
1 176 9.8 0.0001
51 2 9.7 0.0001
136 1 9.7 0.0001
20 6 9.7 0.0001
27 2 9.6 0.0001
24 4 9.6 0.0001
33 5 9.5 0.0001
33 6 9.4 0.0001
16 4 9.3 0.0001
18 2 9.2 0.0001
4 73 9.1 0.0001
151 1 9.1 0.0001
1 86 9.1 0.0001
169 1 9.1 0.0001
20 2 9.0 0.0001
1 172 9.0 0.0001
13 5 9.0 0.0001
2 69 9.0 0.0001
81 4 8.8 0.0002
1 541 8.7 0.0002
27 5 8.7 0.0002
50 6 8.7 0.0002
1 376 8.6 0.0002
38 2 8.6 0.0002
3 228 8.6 0.0002
1 452 8.5 0.0002
397 1 8.5 0.0002
3 164 8.5 0.0002
4 40 8.5 0.0002
325 1 8.5 0.0002
14 4 8.4 0.0002
5 25 8.4 0.0002
25 5 8.4 0.0002
1 179 8.4 0.0002
2 42 8.4 0.0002
5 31 8.3 0.0002
31 5 8.3 0.0002
1 41 8.2 0.0003
17 4 8.2 0.0003
4 51 8.2 0.0003
1 98 8.2 0.0003
1 284 8.2 0.0003
67 1 8.1 0.0003
104 3 8.1 0.0003
31 6 8.0 0.0003
2 79 8.0 0.0003
64 1 8.0 0.0003
18 6 8.0 0.0003
534 1 8.0 0.0003
1 383 8.0 0.0003
4 114 8.0 0.0003
38 4 7.8 0.0004
24 5 7.8 0.0004
3 79 7.8 0.0004
6 21 7.7 0.0004
8 28 7.6 0.0005
5 10 7.6 0.0005
1 415 7.6 0.0005
24 6 7.6 0.0005
1 606 7.6 0.0005
1 595 7.5 0.0005
1 44 7.5 0.0006
81 2 7.5 0.0006
71 1 7.4 0.0006
1 148 7.4 0.0006
42 4 7.4 0.0006
55 3 7.4 0.0006
75 4 7.3 0.0007
160 1 7.3 0.0007
1 489 7.3 0.0007
2 12 7.3 0.0007
2 18 7.3 0.0007
57 3 7.3 0.0007
45 3 7.2 0.0007
542 1 7.2 0.0007
496 1 7.2 0.0008
303 1 7.1 0.0008
1 385 7.1 0.0009
24 2 7.1 0.0009
353 1 7.0 0.0009
1 264 7.0 0.0009
12 5 7.0 0.0009
1 371 7.0 0.0009
12 6 7.0 0.0010
217 1 6.9 0.0010
3 103 6.9 0.0010
746 1 6.9 0.0010
651 1 6.9 0.0010
250 1 6.9 0.0010
277 1 6.9 0.0011
444 1 6.8 0.0011
1 536 6.8 0.0011
9 9 6.7 0.0012
1 326 6.7 0.0012
20 28 6.7 0.0012
1 567 6.7 0.0013
5 12 6.7 0.0013
8 7 6.7 0.0013
240 1 6.6 0.0013
5 73 6.6 0.0013
238 1 6.6 0.0013
1 788 6.6 0.0013
7 5 6.6 0.0014
259 1 6.6 0.0014
100 2 6.6 0.0014
16 5 6.6 0.0014
50 4 6.6 0.0014
1 307 6.6 0.0014
16 6 6.5 0.0015
68 4 6.5 0.0015
3 70 6.5 0.0015
1 599 6.5 0.0015
2 228 6.5 0.0015
100 4 6.5 0.0016
3 184 6.4 0.0016
301 1 6.4 0.0017
39 2 6.4 0.0017
3 99 6.4 0.0017
33 28 6.4 0.0017
3 61 6.3 0.0018
433 1 6.3 0.0018
1 410 6.3 0.0018
1 272 6.3 0.0018
637 1 6.3 0.0019
1 1093 6.3 0.0019
5 16 6.2 0.0019
192 1 6.2 0.0020
243 3 6.2 0.0020
8 9 6.2 0.0020
6 35 6.2 0.0021
9 5 6.1 0.0021
69 4 6.1 0.0022
328 1 6.1 0.0022
1 177 6.1 0.0022
17 6 6.1 0.0023
69 2 6.1 0.0023
59 3 6.1 0.0023
3 64 6.1 0.0023
18 5 6.1 0.0023
5 30 6.1 0.0023
122 3 6.0 0.0024
54 4 6.0 0.0024
13 28 6.0 0.0024
66 3 6.0 0.0025
166 1 5.9 0.0026
52 1 5.9 0.0026
38 6 5.9 0.0026
35 4 5.9 0.0026
1 525 5.9 0.0027
