#conf_AA #conf_AC #expected_count #miss_probability
38 1 75.3 0.0000
29 1 66.4 0.0000
1 100 45.9 0.0000
104 1 38.8 0.0000
254 1 37.0 0.0000
1 18 36.7 0.0000
57 1 34.9 0.0000
1 44 34.4 0.0000
1 103 30.6 0.0000
1 203 29.2 0.0000
2 6 28.4 0.0000
138 1 28.2 0.0000
244 1 26.4 0.0000
1 132 26.3 0.0000
1 83 23.7 0.0000
198 1 22.7 0.0000
1 81 22.2 0.0000
53 1 21.0 0.0000
19 1 20.5 0.0000
1 41 19.7 0.0000
8 8 18.7 0.0000
1 300 18.5 0.0000
176 1 17.9 0.0000
236 1 17.4 0.0000
115 1 16.4 0.0000
1 218 15.9 0.0000
50 8 15.9 0.0000
5 4 15.7 0.0000
33 8 15.2 0.0000
397 1 14.4 0.0000
1 105 14.3 0.0000
9 7 14.2 0.0000
5 6 14.2 0.0000
207 1 14.2 0.0000
1 272 14.1 0.0000
101 1 14.1 0.0000
1 86 14.0 0.0000
140 1 13.9 0.0000
9 8 13.4 0.0000
8 7 13.4 0.0000
25 8 13.3 0.0000
2 4 13.3 0.0000
178 1 13.2 0.0000
1 243 13.2 0.0000
7 5 13.2 0.0000
31 8 12.9 0.0000
160 1 12.9 0.0000
21 8 12.8 0.0000
1 119 12.6 0.0000
311 1 12.5 0.0000
353 1 12.4 0.0000
3 30 12.3 0.0000
169 1 12.2 0.0000
3 116 12.1 0.0000
1 359 12.1 0.0000
136 1 12.1 0.0000
20 7 12.0 0.0000
296 1 11.9 0.0000
288 1 11.9 0.0000
3 100 11.8 0.0000
513 1 11.8 0.0000
50 7 11.7 0.0000
151 1 11.6 0.0000
33 7 11.4 0.0000
217 1 11.4 0.0000
12 8 11.2 0.0000
303 1 10.9 0.0000
38 8 10.4 0.0000
1 233 10.4 0.0000
3 36 10.3 0.0000
325 1 10.3 0.0000
1 65 10.2 0.0000
534 1 9.9 0.0000
250 1 9.8 0.0001
2 80 9.8 0.0001
1 404 9.8 0.0001
25 7 9.8 0.0001
31 7 9.7 0.0001
1 278 9.6 0.0001
30 8 9.4 0.0001
1 321 9.4 0.0001
238 1 9.4 0.0001
6 4 9.4 0.0001
21 7 9.3 0.0001
1 196 9.3 0.0001
52 1 9.3 0.0001
3 18 9.2 0.0001
2 116 9.2 0.0001
24 7 9.1 0.0001
1 78 9.0 0.0001
1 470 9.0 0.0001
29 8 8.9 0.0001
2 100 8.9 0.0001
2 21 8.9 0.0001
100 8 8.8 0.0001
496 1 8.7 0.0002
542 1 8.7 0.0002
7 7 8.7 0.0002
67 1 8.7 0.0002
44 8 8.6 0.0002
2 12 8.6 0.0002
746 1 8.5 0.0002
221 1 8.5 0.0002
18 7 8.5 0.0002
444 1 8.5 0.0002
651 1 8.5 0.0002
277 1 8.5 0.0002
240 1 8.2 0.0003
15 8 8.2 0.0003
211 1 8.2 0.0003
