#conf_AC #conf_CA #expected_count #miss_probability
1 18 62.0 0.0000
53 1 52.2 0.0000
29 1 40.4 0.0000
38 1 39.0 0.0000
19 1 38.5 0.0000
1 41 37.6 0.0000
71 1 37.0 0.0000
1 98 35.4 0.0000
1 87 35.0 0.0000
1 83 34.8 0.0000
133 1 25.8 0.0000
1 70 25.3 0.0000
1 103 25.1 0.0000
1 316 23.4 0.0000
166 1 22.0 0.0000
1 93 21.4 0.0000
258 1 21.1 0.0000
101 1 18.6 0.0000
1 213 17.5 0.0000
1 65 17.3 0.0000
9 3 16.9 0.0000
1 137 16.2 0.0000
140 1 15.4 0.0000
8 15 14.9 0.0000
8 12 14.9 0.0000
10 2 14.7 0.0000
1 218 14.6 0.0000
1 88 14.3 0.0000
151 1 14.3 0.0000
8 47 14.2 0.0000
249 1 13.6 0.0000
1 109 13.2 0.0000
1 233 13.2 0.0000
7 6 13.0 0.0000
1 172 12.8 0.0000
1 179 12.6 0.0000
104 1 12.5 0.0000
1 81 12.2 0.0000
8 7 12.0 0.0000
1 237 12.0 0.0000
1 106 11.8 0.0000
1 66 11.7 0.0000
1 246 11.7 0.0000
8 56 11.5 0.0000
7 4 11.5 0.0000
211 1 11.5 0.0000
8 26 11.2 0.0000
158 1 11.1 0.0000
1 221 10.9 0.0000
7 12 10.9 0.0000
1 74 10.5 0.0000
7 47 10.4 0.0000
5 6 10.4 0.0000
197 1 10.3 0.0000
1 415 10.2 0.0000
8 13 10.1 0.0000
1 162 10.0 0.0000
1 261 9.9 0.0000
227 1 9.9 0.0000
1 216 9.6 0.0001
53 2 9.5 0.0001
1 289 9.2 0.0001
1 441 9.2 0.0001
8 8 9.0 0.0001
5 12 9.0 0.0001
1 121 9.0 0.0001
5 4 9.0 0.0001
156 1 8.9 0.0001
1 226 8.7 0.0002
2 6 8.7 0.0002
8 14 8.5 0.0002
115 1 8.5 0.0002
8 49 8.5 0.0002
7 7 8.4 0.0002
1 251 8.3 0.0002
8 48 8.3 0.0002
9 15 8.3 0.0002
9 12 8.3 0.0002
1 132 8.3 0.0003
1 148 8.3 0.0003
1 491 8.3 0.0003
1 404 8.3 0.0003
8 17 8.2 0.0003
1 220 8.2 0.0003
1 199 8.0 0.0003
23 2 8.0 0.0003
169 1 7.9 0.0004
250 1 7.9 0.0004
1 240 7.8 0.0004
9 47 7.7 0.0004
116 2 7.7 0.0004
38 2 7.7 0.0004
1 301 7.7 0.0005
1 349 7.6 0.0005
7 56 7.6 0.0005
1 270 7.5 0.0006
8 28 7.5 0.0006
14 2 7.4 0.0006
24 2 7.2 0.0007
1 203 7.2 0.0007
6 6 7.2 0.0007
329 1 7.2 0.0008
117 1 7.1 0.0008
200 1 7.1 0.0008
1 273 7.1 0.0009
2 47 7.0 0.0009
1 182 7.0 0.0009
1 119 7.0 0.0009
1 539 6.9 0.0010
56 2 6.8 0.0011
4 47 6.8 0.0011
5 56 6.8 0.0011
2 4 6.7 0.0012
2 12 6.7 0.0012
8 45 6.7 0.0012
1 399 6.7 0.0013
40 2 6.7 0.0013
240 1 6.7 0.0013
223 1 6.7 0.0013
1 327 6.6 0.0013
207 1 6.5 0.0014
1 176 6.5 0.0016
372 1 6.4 0.0017
51 2 6.3 0.0018
343 1 6.3 0.0018
235 1 6.3 0.0018
8 27 6.3 0.0019
7 18 6.3 0.0019
114 1 6.2 0.0020
7 48 6.1 0.0022
9 26 6.1 0.0023
7 49 6.1 0.0023
2 10 6.1 0.0023
1 386 6.0 0.0024
7 17 6.0 0.0025
18 2 6.0 0.0025
3 56 6.0 0.0025
9 7 6.0 0.0025
8 19 6.0 0.0025
58 2 5.9 0.0027
5 11 5.9 0.0028
8 29 5.9 0.0028
1 530 5.9 0.0028
1 383 5.8 0.0030
67 1 5.8 0.0030
1 376 5.8 0.0031
176 1 5.7 0.0033
339 1 5.7 0.0033
1 168 5.7 0.0033
163 1 5.7 0.0034
2 56 5.7 0.0035
1 152 5.6 0.0036
7 28 5.6 0.0037
138 1 5.6 0.0037
1 322 5.5 0.0040
9 13 5.5 0.0040
6 4 5.5 0.0040
172 1 5.5 0.0040
1 522 5.5 0.0041
9 56 5.5 0.0041
1 375 5.4 0.0043
9 11 5.4 0.0044
193 1 5.4 0.0044
15 3 5.4 0.0047
333 1 5.3 0.0049
268 1 5.3 0.0050
393 1 5.3 0.0051
1 554 5.3 0.0052
1 378 5.3 0.0052
42 2 5.2 0.0053
6 47 5.2 0.0054
7 23 5.2 0.0054
1 411 5.2 0.0055
8 52 5.2 0.0057
12 3 5.2 0.0057
85 2 5.1 0.0058
8 41 5.1 0.0063
238 1 5.1 0.0064
309 1 5.1 0.0064
9 8 5.1 0.0064
8 59 5.0 0.0067
5 49 5.0 0.0069
1 352 4.9 0.0071
145 1 4.9 0.0072
7 45 4.9 0.0072
236 1 4.9 0.0073
5 18 4.9 0.0074
1 438 4.9 0.0074
5 48 4.9 0.0074
261 1 4.9 0.0074
433 1 4.9 0.0075
39 2 4.9 0.0077
8 20 4.8 0.0080
8 83 4.8 0.0083
53 3 4.8 0.0083
8 98 4.8 0.0085
9 21 4.8 0.0086
8 69 4.7 0.0088
72 2 4.7 0.0089
314 1 4.7 0.0092
1 280 4.7 0.0094
2 21 4.7 0.0094
5 10 4.7 0.0095
9 49 4.6 0.0099
