#conf_AC #conf_CC #expected_count #miss_probability
53 1 73.2 0.0000
29 1 55.4 0.0000
71 1 48.4 0.0000
19 1 46.9 0.0000
38 1 44.3 0.0000
1 164 36.7 0.0000
9 3 36.2 0.0000
133 1 36.2 0.0000
166 1 30.9 0.0000
1 86 29.6 0.0000
258 1 29.5 0.0000
8 9 27.0 0.0000
101 1 26.1 0.0000
249 1 24.3 0.0000
140 1 21.6 0.0000
151 1 20.1 0.0000
1 18 17.9 0.0000
8 32 17.3 0.0000
104 1 17.2 0.0000
158 1 15.6 0.0000
1 313 15.3 0.0000
9 9 15.0 0.0000
8 8 14.8 0.0000
7 5 13.7 0.0000
227 1 13.6 0.0000
8 14 13.3 0.0000
156 1 13.3 0.0000
197 1 13.0 0.0000
1 132 12.9 0.0000
211 1 12.8 0.0000
8 53 12.5 0.0000
1 391 12.1 0.0000
8 27 11.5 0.0000
15 3 11.5 0.0000
169 1 11.4 0.0000
117 1 11.3 0.0000
1 333 11.3 0.0000
250 1 11.1 0.0000
240 1 10.7 0.0000
329 1 10.6 0.0000
8 25 10.3 0.0000
53 3 10.2 0.0000
9 5 10.2 0.0000
200 1 9.9 0.0000
115 1 9.9 0.0000
12 3 9.9 0.0001
9 32 9.6 0.0001
8 7 9.4 0.0001
223 1 9.3 0.0001
9 21 9.3 0.0001
207 1 9.0 0.0001
372 1 9.0 0.0001
114 1 8.9 0.0001
343 1 8.9 0.0001
235 1 8.9 0.0001
8 39 8.9 0.0001
80 3 8.9 0.0001
5 11 8.7 0.0002
2 21 8.6 0.0002
8 15 8.4 0.0002
4 32 8.3 0.0003
1 218 8.2 0.0003
9 11 8.1 0.0003
176 1 8.1 0.0003
339 1 8.0 0.0003
9 8 8.0 0.0003
193 1 7.8 0.0004
8 71 7.7 0.0005
7 25 7.5 0.0005
1 476 7.5 0.0005
71 3 7.5 0.0005
333 1 7.5 0.0006
393 1 7.4 0.0006
1 119 7.3 0.0006
8 97 7.3 0.0007
17 3 7.3 0.0007
56 3 7.3 0.0007
1 725 7.3 0.0007
30 3 7.3 0.0007
238 1 7.3 0.0007
6 21 7.1 0.0008
309 1 7.1 0.0008
8 19 7.0 0.0009
138 1 7.0 0.0009
145 1 6.9 0.0010
261 1 6.9 0.0010
433 1 6.9 0.0010
9 53 6.8 0.0011
36 3 6.8 0.0011
6 32 6.7 0.0012
8 22 6.7 0.0013
268 1 6.7 0.0013
7 39 6.7 0.0013
314 1 6.6 0.0014
8 30 6.5 0.0015
1 240 6.5 0.0015
260 1 6.4 0.0016
29 3 6.4 0.0017
236 1 6.4 0.0017
6 4 6.4 0.0017
57 1 6.4 0.0017
175 1 6.4 0.0017
388 1 6.4 0.0017
14 2 6.3 0.0018
1 433 6.3 0.0019
733 1 6.3 0.0019
530 1 6.3 0.0019
9 27 6.3 0.0019
7 7 6.2 0.0020
2 53 6.2 0.0021
488 1 6.1 0.0022
1 315 6.1 0.0023
6 11 6.1 0.0023
5 25 6.0 0.0024
10 2 6.0 0.0025
478 1 6.0 0.0026
8 26 5.9 0.0026
1 864 5.9 0.0027
8 17 5.9 0.0027
323 1 5.9 0.0028
547 1 5.9 0.0028
108 3 5.8 0.0030
1 668 5.8 0.0031
9 14 5.8 0.0032
67 1 5.7 0.0032
296 1 5.7 0.0034
8 50 5.6 0.0037
8 33 5.6 0.0037
9 25 5.6 0.0038
172 1 5.5 0.0040
1 629 5.4 0.0043
1 358 5.4 0.0044
604 1 5.4 0.0047
335 1 5.3 0.0050
163 1 5.3 0.0051
8 48 5.2 0.0053
380 1 5.2 0.0054
19 3 5.2 0.0054
72 3 5.2 0.0055
242 1 5.1 0.0058
7 62 5.1 0.0062
133 3 5.1 0.0064
9 7 5.0 0.0067
1 169 5.0 0.0069
8 138 5.0 0.0070
9 39 4.9 0.0071
4 53 4.9 0.0071
8 164 4.9 0.0071
337 1 4.9 0.0074
638 1 4.9 0.0075
8 62 4.9 0.0075
8 115 4.9 0.0076
149 1 4.8 0.0079
1 322 4.8 0.0079
8 96 4.8 0.0080
8 89 4.8 0.0083
765 1 4.7 0.0087
409 1 4.7 0.0087
351 1 4.7 0.0090
1 612 4.7 0.0095
2 4 4.6 0.0098
7 97 4.6 0.0098
1 484 4.6 0.0098
