#conf_CA #conf_AA #expected_count #miss_probability
1 18 80.7 0.0000
2 4 51.8 0.0000
1 79 50.6 0.0000
2 6 50.4 0.0000
1 164 46.2 0.0000
1 228 39.8 0.0000
71 1 37.7 0.0000
52 1 36.7 0.0000
19 1 36.2 0.0000
1 132 34.0 0.0000
9 3 31.3 0.0000
1 103 30.9 0.0000
47 3 29.5 0.0000
15 3 29.3 0.0000
1 147 29.1 0.0000
1 83 27.8 0.0000
1 255 27.1 0.0000
64 1 26.9 0.0000
1 70 25.2 0.0000
1 261 25.1 0.0000
115 1 24.5 0.0000
1 229 22.8 0.0000
1 65 22.6 0.0000
1 88 21.1 0.0000
1 203 21.0 0.0000
1 183 20.5 0.0000
2 50 20.3 0.0000
1 196 20.0 0.0000
10 2 19.3 0.0000
175 1 18.5 0.0000
114 1 18.4 0.0000
5 4 18.3 0.0000
47 4 17.2 0.0000
1 352 17.2 0.0000
2 31 17.0 0.0000
17 3 16.9 0.0000
1 240 16.8 0.0000
2 10 16.4 0.0000
30 3 16.1 0.0000
1 78 15.8 0.0000
11 4 15.4 0.0000
1 419 15.1 0.0000
1 106 15.0 0.0000
1 110 14.8 0.0000
1 146 14.8 0.0000
6 4 14.7 0.0000
2 18 14.4 0.0000
6 6 14.4 0.0000
1 233 14.3 0.0000
1 119 13.8 0.0000
2 73 13.5 0.0000
1 123 12.8 0.0000
1 298 12.8 0.0000
9 5 12.7 0.0000
2 40 12.6 0.0000
5 6 12.6 0.0000
11 6 12.2 0.0000
2 51 12.2 0.0000
291 1 12.1 0.0000
193 1 12.0 0.0000
47 5 11.9 0.0000
29 1 11.6 0.0000
38 1 11.6 0.0000
47 6 11.5 0.0000
14 4 11.5 0.0000
1 98 11.0 0.0000
1 172 11.0 0.0000
52 3 11.0 0.0000
1 176 10.9 0.0000
21 2 10.7 0.0000
15 5 10.6 0.0000
1 376 10.6 0.0000
1 541 10.4 0.0000
2 69 10.3 0.0000
19 3 10.3 0.0000
1 179 10.3 0.0000
53 1 10.3 0.0000
104 1 10.2 0.0000
1 452 10.2 0.0000
27 2 10.0 0.0000
1 383 9.8 0.0001
1 284 9.8 0.0001
23 2 9.7 0.0001
1 86 9.7 0.0001
2 12 9.7 0.0001
6 28 9.5 0.0001
71 3 9.5 0.0001
49 4 9.4 0.0001
1 415 9.3 0.0001
1 606 9.3 0.0001
1 595 9.2 0.0001
1 148 9.1 0.0001
1 489 9.0 0.0001
16 4 8.9 0.0001
1 567 8.7 0.0002
1 385 8.7 0.0002
1 264 8.6 0.0002
91 1 8.6 0.0002
1 371 8.5 0.0002
5 28 8.5 0.0002
9 28 8.5 0.0002
18 4 8.4 0.0002
1 536 8.3 0.0002
11 28 8.3 0.0003
301 1 8.3 0.0003
1 326 8.3 0.0003
6 7 8.2 0.0003
1 788 8.1 0.0003
25 3 8.1 0.0003
1 307 8.1 0.0003
219 1 8.0 0.0003
57 1 8.0 0.0003
14 6 7.9 0.0004
47 28 7.8 0.0004
1 599 7.8 0.0004
2 79 7.8 0.0004
1 410 7.8 0.0004
1 272 7.8 0.0004
2 164 7.7 0.0004
1 1093 7.7 0.0004
1 407 7.6 0.0005
283 1 7.6 0.0005
180 1 7.6 0.0005
1 177 7.5 0.0006
249 1 7.4 0.0006
212 1 7.3 0.0007
261 1 7.3 0.0007
2 228 7.3 0.0007
100 3 7.3 0.0007
9 7 7.2 0.0007
195 1 7.1 0.0008
64 3 7.1 0.0008
7 4 7.1 0.0009
13 5 7.1 0.0009
1 927 7.0 0.0009
18 5 7.0 0.0009
167 1 7.0 0.0009
18 6 6.9 0.0010
223 1 6.9 0.0010
1 687 6.9 0.0010
49 6 6.9 0.0010
9 9 6.9 0.0010
1 347 6.8 0.0011
1 361 6.7 0.0012
1 41 6.7 0.0012
6 11 6.7 0.0012
1 509 6.7 0.0012
1 744 6.7 0.0013
1 44 6.6 0.0013
17 6 6.6 0.0013
67 1 6.6 0.0013
49 5 6.6 0.0014
238 1 6.5 0.0014
1 525 6.5 0.0015
115 3 6.4 0.0016
17 4 6.4 0.0016
16 5 6.3 0.0018
1 182 6.2 0.0020
89 4 6.2 0.0020
79 2 6.2 0.0020
134 1 6.2 0.0020
2 48 6.1 0.0022
82 3 6.1 0.0022
93 3 6.1 0.0022
16 6 6.1 0.0022
20 5 6.1 0.0023
117 1 6.1 0.0023
15 28 6.1 0.0023
2 132 6.1 0.0023
2 103 6.1 0.0023
15 7 6.0 0.0024
2 154 6.0 0.0024
35 4 6.0 0.0025
28 4 6.0 0.0025
6 50 5.9 0.0027
1 842 5.9 0.0027
9 11 5.9 0.0028
35 6 5.9 0.0029
1 181 5.8 0.0029
2 21 5.8 0.0030
15 11 5.8 0.0031
20 6 5.8 0.0031
1 608 5.8 0.0031
1 784 5.8 0.0031
1 547 5.8 0.0031
61 2 5.8 0.0032
5 11 5.7 0.0033
1 294 5.7 0.0033
11 11 5.7 0.0033
1 1021 5.7 0.0034
48 2 5.7 0.0034
101 1 5.6 0.0036
1 663 5.6 0.0036
1 499 5.6 0.0036
51 4 5.5 0.0039
178 1 5.5 0.0040
2 70 5.5 0.0041
6 13 5.5 0.0041
2 184 5.5 0.0042
2 99 5.4 0.0045
1 456 5.4 0.0045
1 649 5.4 0.0045
6 14 5.4 0.0045
2 94 5.4 0.0046
47 11 5.4 0.0046
71 2 5.3 0.0049
256 1 5.3 0.0049
2 42 5.3 0.0050
14 2 5.3 0.0051
89 2 5.3 0.0052
2 135 5.2 0.0053
1 93 5.2 0.0055
1 1359 5.2 0.0055
102 3 5.2 0.0058
1 771 5.1 0.0059
15 50 5.1 0.0059
2 64 5.1 0.0059
1 313 5.1 0.0059
1 484 5.1 0.0060
7 28 5.1 0.0060
693 1 5.1 0.0061
287 1 5.1 0.0061
9 50 5.1 0.0062
1 381 5.1 0.0063
1 694 5.1 0.0063
5 50 5.1 0.0063
1 221 5.0 0.0066
349 1 5.0 0.0066
718 1 5.0 0.0067
70 2 5.0 0.0068
61 4 5.0 0.0068
2 255 5.0 0.0070
6 31 5.0 0.0070
1 613 4.9 0.0072
1 432 4.9 0.0073
1 845 4.9 0.0074
343 1 4.9 0.0074
175 3 4.9 0.0075
40 5 4.9 0.0075
114 3 4.9 0.0076
40 4 4.9 0.0076
87 2 4.9 0.0077
1 494 4.9 0.0077
1 231 4.9 0.0078
3 68 4.8 0.0079
7 6 4.8 0.0079
9 13 4.8 0.0080
15 14 4.8 0.0082
47 50 4.8 0.0084
14 28 4.8 0.0084
529 1 4.8 0.0084
6 10 4.8 0.0085
644 1 4.8 0.0085
1 430 4.8 0.0085
416 1 4.8 0.0085
365 1 4.7 0.0087
9 14 4.7 0.0087
1 404 4.7 0.0089
1 569 4.7 0.0089
11 13 4.7 0.0091
79 4 4.7 0.0091
51 2 4.7 0.0092
20 4 4.7 0.0093
2 61 4.6 0.0097
18 2 4.6 0.0097
78 2 4.6 0.0098
40 6 4.6 0.0099
