#conf_CA #conf_AC #expected_count #miss_probability
1 100 47.6 0.0000
52 1 44.5 0.0000
19 1 40.2 0.0000
1 44 38.9 0.0000
71 1 38.3 0.0000
1 18 38.0 0.0000
1 103 30.9 0.0000
64 1 30.1 0.0000
1 203 29.6 0.0000
2 6 27.9 0.0000
1 132 27.9 0.0000
115 1 26.1 0.0000
1 83 24.5 0.0000
2 4 21.5 0.0000
1 41 20.4 0.0000
1 81 19.9 0.0000
175 1 19.3 0.0000
114 1 19.3 0.0000
1 300 19.2 0.0000
9 8 17.1 0.0000
1 218 16.5 0.0000
47 8 16.1 0.0000
15 8 15.5 0.0000
1 105 15.1 0.0000
1 86 14.9 0.0000
1 272 14.9 0.0000
6 7 14.6 0.0000
291 1 14.4 0.0000
1 243 13.7 0.0000
1 119 13.4 0.0000
193 1 12.6 0.0000
1 359 12.5 0.0000
9 7 12.5 0.0000
134 1 12.3 0.0000
53 1 10.7 0.0000
14 8 10.7 0.0000
104 1 10.7 0.0000
1 65 10.6 0.0000
1 196 10.5 0.0000
8 8 10.5 0.0000
1 404 10.1 0.0000
1 321 10.1 0.0000
1 233 10.1 0.0000
1 278 9.9 0.0001
49 8 9.6 0.0001
1 78 9.3 0.0001
2 80 9.3 0.0001
1 470 9.3 0.0001
244 1 9.3 0.0001
29 1 9.3 0.0001
67 1 9.2 0.0001
9 3 9.1 0.0001
1 329 9.0 0.0001
1 161 8.9 0.0001
212 1 8.8 0.0001
1 312 8.8 0.0001
256 1 8.8 0.0002
30 8 8.8 0.0002
2 116 8.7 0.0002
301 1 8.6 0.0002
249 1 8.5 0.0002
2 21 8.4 0.0002
223 1 8.4 0.0002
219 1 8.4 0.0002
261 1 8.4 0.0002
47 3 8.3 0.0002
6 6 8.1 0.0003
14 7 8.1 0.0003
1 322 8.1 0.0003
1 864 8.0 0.0003
283 1 8.0 0.0004
2 10 8.0 0.0004
2 100 7.8 0.0004
12 9 7.8 0.0004
6 4 7.7 0.0005
2 73 7.6 0.0005
167 1 7.5 0.0006
1 79 7.3 0.0007
195 1 7.3 0.0007
1 297 7.3 0.0007
6 13 7.2 0.0007
5 6 7.1 0.0008
8 7 7.1 0.0008
1 301 7.1 0.0008
1 146 7.0 0.0009
49 7 7.0 0.0009
18 7 6.9 0.0010
15 7 6.9 0.0010
238 1 6.8 0.0011
11 6 6.8 0.0012
2 20 6.7 0.0012
1 315 6.7 0.0012
2 18 6.6 0.0014
1 403 6.6 0.0014
17 7 6.6 0.0014
40 8 6.6 0.0014
1 414 6.6 0.0014
47 6 6.5 0.0014
1 667 6.5 0.0015
117 1 6.5 0.0015
1 665 6.5 0.0015
9 13 6.3 0.0018
30 7 6.3 0.0019
16 7 6.2 0.0020
11 13 6.1 0.0022
1 179 6.1 0.0023
1 339 6.1 0.0023
1 66 6.1 0.0023
1 266 6.1 0.0023
12 5 6.1 0.0024
20 7 6.0 0.0024
169 1 6.0 0.0025
35 7 6.0 0.0026
2 143 5.9 0.0027
47 13 5.8 0.0031
365 1 5.7 0.0032
1 392 5.6 0.0036
1 352 5.6 0.0036
19 8 5.6 0.0036
51 8 5.6 0.0038
52 8 5.5 0.0040
2 103 5.5 0.0040
1 168 5.5 0.0041
23 8 5.5 0.0042
2 12 5.5 0.0043
2 42 5.4 0.0044
1 238 5.4 0.0045
2 203 5.4 0.0045
1 557 5.4 0.0045
10 8 5.4 0.0046
198 1 5.3 0.0048
693 1 5.3 0.0049
287 1 5.3 0.0049
11 4 5.2 0.0053
22 8 5.2 0.0057
1 432 5.2 0.0058
71 8 5.2 0.0058
2 52 5.1 0.0058
48 9 5.1 0.0059
343 1 5.1 0.0059
180 1 5.1 0.0061
1 334 5.1 0.0062
448 1 5.1 0.0064
79 8 5.1 0.0064
2 111 5.0 0.0065
57 1 5.0 0.0065
14 2 5.0 0.0068
529 1 5.0 0.0068
644 1 5.0 0.0068
2 132 5.0 0.0069
1 547 5.0 0.0069
1 265 5.0 0.0069
416 1 5.0 0.0069
10 2 5.0 0.0069
1086 1 5.0 0.0069
38 1 4.9 0.0073
1 121 4.9 0.0073
26 5 4.9 0.0076
40 7 4.7 0.0090
140 1 4.7 0.0091
17 3 4.7 0.0093
19 7 4.7 0.0093
1 284 4.7 0.0095
262 1 4.7 0.0095
332 1 4.7 0.0095
1 504 4.6 0.0099
1 316 4.6 0.0099
