#conf_CC #conf_CA #expected_count #miss_probability
1 18 74.8 0.0000
1 41 45.3 0.0000
1 98 42.6 0.0000
1 87 42.2 0.0000
1 83 41.9 0.0000
1 103 30.9 0.0000
1 70 30.4 0.0000
38 1 29.7 0.0000
1 316 28.2 0.0000
1 93 25.8 0.0000
1 213 21.1 0.0000
1 65 20.3 0.0000
1 137 19.6 0.0000
21 2 19.4 0.0000
1 218 17.9 0.0000
1 88 17.2 0.0000
1 109 15.9 0.0000
1 233 15.5 0.0000
1 172 15.4 0.0000
1 179 15.1 0.0000
1 81 14.7 0.0000
1 246 14.4 0.0000
1 237 14.4 0.0000
14 2 13.9 0.0000
10 2 13.7 0.0000
1 66 13.7 0.0000
267 1 13.6 0.0000
1 74 13.5 0.0000
1 221 13.2 0.0000
3 56 12.6 0.0000
1 106 12.6 0.0000
1 415 12.3 0.0000
1 162 12.0 0.0000
1 261 12.0 0.0000
1 132 11.8 0.0000
1 216 11.6 0.0000
1 251 11.5 0.0000
27 2 11.5 0.0000
1 441 11.1 0.0000
1 289 11.1 0.0000
2 6 11.0 0.0000
419 1 10.9 0.0000
1 121 10.8 0.0000
41 2 10.8 0.0000
1 226 10.5 0.0000
3 18 10.2 0.0000
1 148 10.0 0.0000
1 404 9.9 0.0000
1 491 9.9 0.0000
29 1 9.7 0.0001
1 199 9.7 0.0001
2 4 9.5 0.0001
1 240 9.4 0.0001
172 1 9.3 0.0001
2 12 9.3 0.0001
1 301 9.2 0.0001
1 349 9.2 0.0001
93 2 9.2 0.0001
1 220 9.1 0.0001
2 47 8.9 0.0001
1 270 8.8 0.0002
1 203 8.7 0.0002
1 273 8.7 0.0002
1 182 8.4 0.0002
1 119 8.4 0.0002
1 539 8.4 0.0002
1 327 8.2 0.0003
97 2 8.1 0.0003
9 9 7.9 0.0004
1 399 7.9 0.0004
1 386 7.2 0.0007
1 530 7.2 0.0007
1 280 7.2 0.0007
2 56 7.2 0.0008
74 2 7.1 0.0009
1 383 7.0 0.0009
1 176 7.0 0.0009
1 168 7.0 0.0010
19 1 6.9 0.0010
1 152 6.8 0.0011
1 376 6.8 0.0011
42 2 6.8 0.0012
1 522 6.6 0.0013
1 375 6.6 0.0014
309 1 6.5 0.0015
1 554 6.3 0.0018
1 378 6.3 0.0018
3 52 6.3 0.0018
1 411 6.3 0.0019
1 322 6.3 0.0019
256 1 6.2 0.0019
39 2 6.2 0.0021
3 41 6.2 0.0021
48 2 6.1 0.0022
2 21 6.1 0.0023
1 438 6.1 0.0023
349 1 6.0 0.0025
87 2 6.0 0.0026
1 298 5.9 0.0026
4 47 5.9 0.0026
384 1 5.9 0.0027
3 83 5.8 0.0029
37 2 5.8 0.0030
32 6 5.8 0.0031
3 87 5.8 0.0032
5 6 5.7 0.0033
2 10 5.6 0.0035
1 352 5.6 0.0035
1 257 5.6 0.0036
89 2 5.6 0.0037
1 363 5.6 0.0038
96 2 5.5 0.0041
1 678 5.4 0.0045
1 1137 5.4 0.0045
5 4 5.4 0.0046
266 1 5.3 0.0048
1 529 5.3 0.0048
174 2 5.2 0.0053
1 503 5.2 0.0053
2 18 5.2 0.0055
164 2 5.2 0.0056
2 48 5.2 0.0056
1 719 5.2 0.0056
2 49 5.2 0.0058
107 2 5.1 0.0058
1 201 5.1 0.0059
24 2 5.1 0.0060
5 12 5.1 0.0061
1 169 5.1 0.0061
32 4 5.1 0.0061
3 98 5.1 0.0061
1 528 5.0 0.0064
4 10 5.0 0.0066
3 95 5.0 0.0067
1 112 4.9 0.0071
1 267 4.9 0.0071
11 6 4.9 0.0071
3 138 4.9 0.0071
23 2 4.9 0.0071
20 2 4.9 0.0073
67 1 4.9 0.0074
552 1 4.9 0.0075
242 1 4.9 0.0075
5 11 4.9 0.0076
32 15 4.9 0.0076
3 72 4.8 0.0079
57 1 4.8 0.0079
1 497 4.8 0.0080
79 2 4.8 0.0080
58 2 4.8 0.0081
1 433 4.8 0.0081
3 84 4.8 0.0084
21 15 4.8 0.0085
3 36 4.8 0.0086
1 998 4.7 0.0088
4 56 4.7 0.0093
315 1 4.6 0.0099
