#conf_CC #conf_CC #expected_count #miss_probability
1 164 42.8 0.0000
1 86 35.3 0.0000
38 1 31.9 0.0000
1 313 18.2 0.0000
1 18 17.2 0.0000
267 1 16.3 0.0000
419 1 15.6 0.0000
1 132 15.4 0.0000
1 391 14.5 0.0000
1 333 13.5 0.0000
172 1 12.9 0.0000
2 21 10.5 0.0000
29 1 10.5 0.0000
1 218 9.7 0.0001
93 3 9.7 0.0001
1 240 9.4 0.0001
309 1 9.3 0.0001
21 9 8.8 0.0002
1 476 8.8 0.0002
256 1 8.7 0.0002
1 725 8.7 0.0002
3 97 8.6 0.0002
349 1 8.5 0.0002
1 433 8.5 0.0002
32 9 8.3 0.0003
384 1 8.2 0.0003
1 119 7.9 0.0004
2 53 7.7 0.0004
21 2 7.6 0.0005
97 3 7.5 0.0006
1 315 7.4 0.0006
19 1 7.1 0.0008
1 864 7.0 0.0009
3 50 6.9 0.0010
242 1 6.8 0.0011
1 320 6.6 0.0014
266 1 6.6 0.0014
1 668 6.5 0.0015
10 2 6.5 0.0015
1 169 6.4 0.0017
4 32 6.3 0.0019
70 3 6.2 0.0021
1 629 6.1 0.0022
3 138 6.0 0.0025
3 96 6.0 0.0026
1 358 5.9 0.0029
3 164 5.8 0.0030
1 322 5.8 0.0031
506 1 5.7 0.0033
2 39 5.6 0.0037
24 3 5.6 0.0038
1 612 5.6 0.0038
1 799 5.5 0.0040
1 484 5.5 0.0040
1 587 5.4 0.0045
164 3 5.3 0.0048
17 3 5.3 0.0052
1 796 5.3 0.0052
315 1 5.2 0.0053
62 9 5.2 0.0053
3 30 5.2 0.0055
5 11 5.2 0.0056
1 187 5.1 0.0059
1 41 5.1 0.0060
1 516 5.1 0.0063
4 53 5.0 0.0065
1 1139 4.9 0.0072
552 1 4.9 0.0078
3 86 4.8 0.0082
1 106 4.8 0.0083
1 402 4.8 0.0083
3 38 4.8 0.0086
258 1 4.7 0.0090
1 1024 4.7 0.0091
21 8 4.7 0.0093
57 1 4.7 0.0094
